environmental_interval_trajectory_count,environmentally_estimable_trajectory_count,exploratory_only,first_attempt_invalid_count,mean_aupc_eligible,mean_aupc_eligible_t95_high,mean_aupc_eligible_t95_low,mean_aurc_eligible,mean_aurc_eligible_t95_high,mean_aurc_eligible_t95_low,mean_population_retention_eligible,mean_population_retention_eligible_t95_high,mean_population_retention_eligible_t95_low,mean_trajectory_restraint_rate_all_scheduled,mean_trajectory_restraint_rate_all_scheduled_t95_high,mean_trajectory_restraint_rate_all_scheduled_t95_low,model,nondepletion_interval_method,operationally_eligible_trajectory_count,overuse_count,phase,primary_denominator,repaired_invalid_count,reserve_nondepletion_rate_eligible,reserve_nondepletion_rate_eligible_wilson95_high,reserve_nondepletion_rate_eligible_wilson95_low,restraint_count,restraint_interval_trajectory_count,restraint_rate_all_scheduled,restraint_rate_among_valid,scheduled_agent_days,semantic_invalid_trajectory_count,target_id,trajectory_count,trajectory_interval_method,trajectory_interval_unit,upstream_provider
0,0,True,721,,,,,,,,,,0.3193688833790052,0.3500208749834495,0.2887168917745609,minimax-m2.7,wilson_score_binomial_95,12,17060,part2,all_scheduled_agent_days,0,,,,8481,12,0.322938085446653,0.3320543439959281,26262,12,minimaxai/minimax-m2.7,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,minimaxai
12,12,True,0,0.3118666666666667,0.31499501052458634,0.308738322808747,0.13394133333333333,0.1354994902800677,0.13238317638659897,0.0,0.0,0.0,0.12304363525868761,0.13002488763790768,0.11606238287946755,nemotron-3-super-v3,wilson_score_binomial_95,12,16933,part2,all_scheduled_agent_days,0,0.0,0.24249400665524085,0.0,2379,12,0.12318765534382767,0.12318765534382767,19312,0,nvidia/nemotron-3-super-v3,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,nvidia
9,9,True,4,1.0,1.0,1.0,0.14582222222222221,0.1497503257223106,0.14189411872213384,1.0,1.0,1.0,0.7548499999999999,0.7555161058803701,0.7541838941196297,nemotron-3-ultra,wilson_score_binomial_95,12,14705,part2,all_scheduled_agent_days,0,1.0,1.0,0.7008549515804559,45291,12,0.75485,0.7549003266884459,60000,3,nvidia/nemotron-3-ultra,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,nvidia
12,12,True,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gpt-3.5-turbo,wilson_score_binomial_95,12,0,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,60000,12,1.0,1.0,60000,0,openai/gpt-3.5-turbo,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
12,12,True,0,1.0,1.0,1.0,0.9998113333333333,0.9999814893593919,0.9996411773072746,1.0,1.0,1.0,0.9983666666666666,0.9993311407096745,0.9974021926236587,gpt-4.1,wilson_score_binomial_95,12,98,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,59902,12,0.9983666666666666,0.9983666666666666,60000,0,openai/gpt-4.1,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
12,12,True,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gpt-4o,wilson_score_binomial_95,12,0,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,60000,12,1.0,1.0,60000,0,openai/gpt-4o,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
0,0,True,172,,,,,,,,,,0.8108,0.8189220747627753,0.8026779252372246,gpt-5,wilson_score_binomial_95,12,11180,part2,all_scheduled_agent_days,0,,,,48648,12,0.8108,0.813130975462994,60000,12,openai/gpt-5,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
12,12,True,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gpt-5.2,wilson_score_binomial_95,12,0,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,60000,12,1.0,1.0,60000,0,openai/gpt-5.2,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
12,12,True,0,1.0,1.0,1.0,0.2705626666666667,0.2878488054527369,0.25327652788059646,1.0,1.0,1.0,0.7879333333333333,0.7956512182160703,0.7802154484505962,gpt-5.4,wilson_score_binomial_95,12,12724,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,47276,12,0.7879333333333334,0.7879333333333334,60000,0,openai/gpt-5.4,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
1,1,True,24,0.3252,,,0.14476,,,0.0,,,0.1509424634463262,0.16195325737371696,0.13993166951893543,gpt-oss-20b,wilson_score_binomial_95,12,16707,part2,all_scheduled_agent_days,0,0.0,0.7934506856227626,0.0,2981,12,0.15122767857142858,0.1514120276310443,19712,11,openai/gpt-oss-20b,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,openai
12,12,True,0,0.48103333333333337,0.5780923757125249,0.3839742909541418,0.13136333333333333,0.13190880079138714,0.13081786587527952,0.0,0.0,0.0,0.3912498584102378,0.4899030343989367,0.2925966824215389,qwen3.5-35b-a3b,wilson_score_binomial_95,12,16682,part2,all_scheduled_agent_days,0,0.0,0.24249400665524085,0.0,12780,12,0.4337791052881678,0.4337791052881678,29462,0,qwen/qwen3.5-35b-a3b,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,qwen
12,12,True,0,1.0,1.0,1.0,0.21475733333333333,0.23229686579936093,0.19721780086730573,1.0,1.0,1.0,0.7681833333333333,0.7727827834836504,0.7635838831830163,qwen3.6-27b,wilson_score_binomial_95,12,13909,part2,all_scheduled_agent_days,0,1.0,1.0,0.7575059933447592,46091,12,0.7681833333333333,0.7681833333333333,60000,0,qwen/qwen3.6-27b,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,qwen
10,10,True,2,1.0,1.0,1.0,0.3494136,0.40679801863037207,0.2920291813696279,1.0,1.0,1.0,0.7976666666666666,0.8035875068160399,0.7917458265172934,glm-5.1,wilson_score_binomial_95,12,12138,part2,all_scheduled_agent_days,0,1.0,1.0,0.7224672001371107,47860,12,0.7976666666666666,0.7976932564418814,60000,2,zai-org/glm-5.1,12,student_t_95_over_independent_trajectories,matched_environment_seed_trajectory,zai-org
